Degree,Employed(%),Full-Time Permanent Employment(%),Basic Monthly Salary Mean (SGD),Basic Monthly Salary Median (SGD),Gross Monthly Salary Mean (SGD),Gross Monthly Salary Median (SGD),Gross Monthly Salary 25th Percentile (SGD),Gross Monthly Salary 75th Percentile (SGD)
Accountancy,97.7,93.0,3505,3300,3539,3400,3100,3500
Accountancy and Business,99.2,96.2,5018,4500,5173,4500,3700,5858
Business,96.2,85.2,4211,4000,4362,4000,3500,4800
Double Degree in Business and Computer Engineering/Computing,93.8,87.5,6418,6300,6578,6300,5250,8225
Aerospace Engineering,94.4,87.3,4250,4250,4321,4471,3792,5000
Bioengineering,90.9,75.8,3480,3483,3654,3500,3300,3850
Chemical and Biomolecular Engineering,91.1,84.8,3784,3600,3959,3740,3600,4300
Civil Engineering,97.7,92.0,3596,3500,3664,3540,3400,3800
Computer Engineering,95.8,89.6,4649,4500,4847,4500,4000,5000
Computer Science,97.0,91.0,4871,4800,4924,4800,4200,5450
Double Degree in Engineering and Economics*,90.9,90.9,4485,4580,4566,4583,4530,4900
Electrical and Electronic Engineering,93.9,88.6,3978,3900,4069,4000,3600,4400
Environmental Engineering,96.6,86.2,3422,3500,3487,3500,3200,3600
Information Engineering and Media,95.7,88.6,4247,4200,4325,4200,3900,4800
Maritime Studies,98.4,95.2,3697,3500,3763,3500,3500,4000
Materials Engineering,96.3,83.0,3701,3600,3801,3650,3500,4000
Mechanical Engineering,94.0,86.1,3845,3700,4006,3800,3570,4400
"Art, Design and Media",86.2,46.6,3146,3000,3182,3000,2650,3675
Chinese,87.0,72.5,3376,3250,3483,3300,3053,3650
Communication Studies,96.9,80.8,3463,3375,3548,3500,3000,3943
Economics,93.5,88.3,3658,3500,3720,3650,3300,4000
English,95.5,64.2,3254,3300,3354,3500,3000,3600
History,82.2,66.7,3724,3675,3800,3675,3500,4000
Inter-Disciplinary Double Major*,92.9,75.0,3794,3650,3822,3650,3450,4180
Linguistics and Multilingual Studies,87.2,70.2,3351,3300,3398,3300,3000,3850
Philosophy,88.5,57.7,3394,3400,3502,3400,2915,4480
Psychology,91.8,71.8,3342,3300,3362,3350,3000,3500
Public Policy and Global Affairs,83.3,77.1,4024,3778,4105,3804,3500,4524
Sociology,91.3,69.6,3509,3475,3567,3500,3200,3940
Biological Sciences / Biomedical Sciences,96.8,81.7,3470,3400,3569,3500,3260,3800
Biomedical Sciences and Chinese Medicine*,90.9,77.3,3023,3100,3119,3100,2890,3300
Chemistry and Biological Chemistry,90.2,74.4,3367,3400,3501,3400,3100,3700
Environmental Earth Systems Sciences*,100.0,91.3,3810,3892,3888,3950,3500,4300
Mathematical Sciences / Mathematical Sciences and Economics,91.0,75.6,3939,3750,4039,3806,3500,4500
Physics and Applied Physics,84.5,69.0,3710,3570,3793,3600,3384,4000
Sports Science and Management,86.2,55.4,3292,3300,3438,3300,3100,3620
Arts (with Education),100.0,100.0,3563,3754,3718,3780,3700,3900
Science (with Education)*,100.0,100.0,3578,3776,3796,3904,3727,4000
Medicine,100.0,100.0,4702,4700,5404,5500,5200,5800
